"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price AUD"
"1","10","1276-1038-1-ND","CL10A106KQ8NNNC","CAP CER 10UF 6.3V X5R 0603","","10","0","0.03800","0.38"
"2","10","399-C0603C330K3RACTUCT-ND","C0603C330K3RACTU","CAP CER 33PF 25V X7R 0603","","10","0","0.20500","2.05"
"3","10","399-C0603C104K3RACTUCT-ND","C0603C104K3RACTU","CAP CER 0.1UF 25V X7R 0603","","10","0","0.04100","0.41"
"4","15","1655-1N4148WCT-ND","1N4148W","DIODE GEN PURP 75V 250MA SOD123","","15","0","0.12300","1.85"
"5","10","1727-2742-1-ND","PTVS5V0Z1USKYL","TVS DIODE 5VWM 12VC DSN1608-2","","10","0","0.11100","1.11"
"6","3","609-1200-1-ND","62684-402100ALF","CONN FPC TOP 40POS 0.5MM R/A","","3","0","0.95000","2.85"
"7","3","2223-MSD-4-ACT-ND","MSD-4-A","CONN MICROSD CARD R/A SMD","","3","0","0.57000","1.71"
"8","3","H11891CT-ND","U.FL-R-SMT-1(10)","CONN U.FL RCPT STR 50 OHM SMD","","3","0","1.91000","5.73"
"9","50","RMCF0603FT100KCT-ND","RMCF0603FT100K","RES 100K OHM 1% 1/10W 0603","","50","0","0.01820","0.91"
"10","50","RMCF0603FT2R20CT-ND","RMCF0603FT2R20","RES 2.2 OHM 1% 1/10W 0603","","50","0","0.01020","0.51"
"11","2","2958-LC76GPAMDCT-ND","LC76GPAMD","RF TXRX MODULE NAVIGATION SMD","","2","0","13.18000","26.36"
"12","2","256-W25N01GVZEIGTRCT-ND","W25N01GVZEIG TR","IC FLASH 1GBIT SPI 104MHZ 8WSON","","2","0","5.76000","11.52"
"13","3","MAX40200AUK+TCT-ND","MAX40200AUK+T","IC DIODE CURRENT SWITCH SOT23-5","","3","0","2.04000","6.12"
"14","10","1276-1044-1-ND","CL10A475KP8NNNC","CAP CER 4.7UF 10V X5R 0603","","10","0","0.01000","0.10"